 Nascidos vivos - Brasil
Nascim p/ocorrênc por Ano do nascimento e Unidade da Federação
Período:1994-2018
"Ano do nascimento";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"2011";27627;18371;75776;9932;140566;16111;24646;118534;52890;128673;48724;57860;142614;53154;36386;212346;259141;52875;220772;611425;152872;87258;137870;41805;51168;77903;55861;2913160
"2012";26521;17386;76726;10741;136235;15924;23897;113936;50450;126856;47528;56390;143431;51533;35815;207074;260030;52653;222923;617816;153941;88461;139129;41876;51126;81052;56339;2905789
"2013";27160;17719;78540;10797;137634;16840;23688;112883;49013;125026;47267;56671;143215;51491;35945;200392;258022;53767;224199;612329;155502;89762;141491;41879;52939;82262;57594;2904027
"2014";27598;17846;80584;11100;141521;17566;24459;115235;50457;128827;48635;57148;145024;50888;36040;201338;266425;56194;233681;627389;159380;93285;143440;43588;56386;86316;58909;2979259
"2015";27889;17676;79531;11409;141556;17100;24609;115893;51716;132721;49527;58828;146209;51774;36207;204207;267873;56399;237071;635627;160403;97414;148415;43665;56617;87673;59659;3017668
"2016";26706;16333;76208;11362;135701;16850;23370;108537;49693;126377;45909;55724;131773;47380;33159;198214;252961;52991;219174;602970;154636;95466;141446;42009;53346;83605;55900;2857800
"2017";27523;17033;77518;11710;136592;16795;24338;111173;51147;127853;46709;57291;136803;49744;35061;202287;260424;55513;223303;613299;157436;98279;141608;44265;57202;85466;57163;2923535
"2018";28093;17264;77534;13315;139442;17440;24942;115158;52248;131540;48641;60092;139057;52004;35455;203396;263067;56337;220495;607702;156227;99395;140052;43767;58548;86613;57108;2944932
"Total";704240;403637;1738253;241201;3306885;374848;624933;2636717;1286585;3284515;1269280;1388495;3717479;1430241;949694;5363760;6249813;1367091;5911034;15918997;4152451;2266949;3854755;1043074;1260160;2059655;1410344;74215086
 Fonte: MS/SVS/DASIS - Sistema de Informações sobre Nascidos Vivos - SINASC
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Nascidos Vivos, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Consolidação do Sistema de Informações sobre Nascidos Vivos - 2011".
 
 * A categorização da "Adequação quantitativa de pré-natal" mostrada na variável "Adeq quant pré-natal" considera o início do
 pré-natal no primeiro trimestre e um mínimo de seis consultas de pré-natal –, sendo gravada em campo chamado Kotelchuck no
 arquivo disponível para download, calculado a partir dos campos “33 – Número de consultas pré-natal” (Mesprenat) e “34 – Mês de gestação em que iniciou o pré-natal” (Consprenat).
 Maiores informações no documento "Saúde Brasil 2017: uma análise da situação de saúde e os desafios para o alcance dos Objetivos de Desenvolvi
 
