 Imunizações - Cobertura - Brasil
Doses Cáculos CV por Ano e Unidade da Federação
Imuno: 072 BCG
Período:1994-2019
"Ano";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"2004";30836;19048;84632;9498;183739;16925;28049;164230;62148;158890;56684;74953;182000;73119;38442;288944;299984;58604;251299;674353;167352;88692;156086;41490;57119;106037;52597;3425750
"2005";30823;19076;95910;10401;214006;17461;29242;173280;62071;166229;58756;81072;178077;72114;39174;284362;301041;57031;257800;658767;167380;87328;151953;42562;59693;106460;50179;3472248
"2006";30194;19080;96372;11074;210510;17901;29048;176834;60357;148681;56634;75810;170353;67527;39404;262055;284161;54744;248536;630269;160282;85645;144276;41219;55447;102954;49407;3328774
"2007";26244;19831;92081;9920;204987;16338;27292;180206;56963;150981;54498;74001;163715;63425;37525;251597;271789;51121;240301;605155;151763;82580;133823;40891;55731;101722;47040;3211520
"2008";28357;19531;90910;9599;193105;17469;27587;171935;55908;143279;53977;76749;164432;58684;38240;235595;270804;52260;234436;627559;155575;86004;133708;42209;56127;104499;47672;3196210
"2009";28068;18437;91384;9809;183717;16551;25907;163890;53339;142003;53921;70927;159999;63047;35626;232162;260775;52046;237316;613416;154659;85419;132519;41991;54025;101125;49081;3131159
"2010";26805;19256;87714;10908;177783;16539;25117;154853;51780;140053;55014;65785;152554;56336;31892;231351;257245;54992;234528;607038;154864;86300;128689;42367;47812;103479;49799;3070853
"2011";27586;18481;88693;11086;171319;15974;25555;151712;51094;139239;58282;68059;156620;55394;34600;229056;259580;53146;246971;620629;158910;89036;135249;43275;50895;105101;43221;3108763
"2012";27674;17700;93902;11377;162045;15125;24482;140959;49401;135348;55012;65209;151584;59347;32381;216081;260744;53068;232968;622359;155011;87014;135305;42421;52072;98627;46791;3044007
"2013";29899;18890;88990;9303;167041;17692;23039;137377;48407;139709;52490;65991;149408;61087;33742;217606;270424;55536;235729;632503;168189;89430;152706;47717;54578;104426;57898;3129807
"2014";29180;17448;93158;11020;158187;17685;25122;125450;46278;136252;50815;63525;153453;56718;34029;212667;262014;55743;252465;637903;166218;95802;146024;54796;57293;107674;49377;3116296
"2015";29955;18019;87367;11944;131887;19065;25907;118831;40035;143187;49471;60091;155633;53637;36212;208964;264798;55311;257521;624356;164553;98908;146604;54808;57884;99737;34839;3049524
"2016";28900;16939;77405;11985;116950;18473;24749;105284;40198;139925;42931;55952;141871;54341;33372;171411;238423;51190;248215;590146;150470;94536;135316;46745;54535;92058;61673;2843993
"2017";27104;16345;75738;12974;121313;15766;26221;115279;46037;139510;31972;58990;139580;57085;33630;175730;249582;51101;268520;628827;153069;79004;131199;46659;54201;91133;44022;2890591
"2018";24805;15839;74056;15138;115103;15924;24429;111062;45806;130356;48468;58849;138755;53780;33253;166031;251347;53274;229546;594669;146322;87194;125517;45618;56181;88978;38973;2789273
"2019";14635;9720;45990;8683;64516;9418;17430;56549;24311;71228;20171;33189;79155;30194;17506;94122;153740;31300;76225;310170;98696;55013;82642;28788;29264;56745;28420;1547820
"Total";800058;435530;2103147;278512;4256283;406602;653889;3827065;1466020;4153471;1375131;1700986;4432551;1561560;955305;6244833;6390997;1448443;6212052;16347773;4170763;2390956;3758466;1081826;1429210;2573954;1228857;81684240
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

